Id,SalePrice
1461,116811.16345574032
1462,146303.4681655567
1463,181704.91253642447
1464,185548.29500387114
1465,188360.23647118686
1466,173298.34673981243
1467,171698.94791567378
1468,166502.8894802028
1469,189221.91217393245
1470,122636.05157631653
1471,202027.14457090956
1472,96112.9472118929
1473,96836.38740499082
1474,155340.94220164485
1475,134035.57126806508
1476,385231.473039607
1477,243654.03526214304
1478,271756.9598558927
1479,249386.00984680696
1480,460854.80751532654
1481,328507.3643435831
1482,189298.6443647919
1483,153195.29015688403
1484,159131.88609887293
1485,173994.83274318188
1486,191611.23607153696
1487,354785.75738327444
1488,223442.67915773
1489,191483.63146603736
1490,204552.48402578733
1491,189489.53998395315
1492,84339.10198716202
1493,187030.4830713623
1494,316364.60165516625
1495,312170.7611819609
1496,228294.41884900935
1497,178185.92260607978
1498,159777.02990567393
1499,163324.31460553122
1500,141063.13833870934
1501,171374.17100501372
1502,151208.6467518463
1503,268268.5453316474
1504,232200.67907266447
1505,230884.94202186496
1506,176338.20009385707
1507,239774.7317907784
1508,189749.55212749078
1509,162781.099443878
1510,144666.9988482478
1511,141718.1324782761
1512,167047.45120333228
1513,140503.08454996313
1514,166174.96202813086
1515,198183.3227916097
1516,172475.730536733
1517,155393.6095906114
1518,130706.17732553341
1519,222480.11541455344
1520,134397.62616074455
1521,129130.91483719344
1522,165788.8474849812
1523,116088.63597023276
1524,121267.57745579437
1525,122531.89428614633
1526,123366.46982520015
1527,98711.39978035068
1528,136332.61869095478
1529,142079.68709799182
1530,179360.30183809518
1531,105240.35427417915
1532,104480.90215884923
1533,137381.25872631953
1534,117842.13321568494
1535,151398.06504479985
1536,109003.83094839758
1537,63817.766540692995
1538,177339.95840674132
1539,208649.71342926737
1540,91471.18732426447
1541,144158.67281882907
1542,137447.77240754853
1543,219712.79674923318
1544,74020.2616405223
1545,105086.24003990566
1546,120113.0225875943
1547,130749.83096898426
1548,132010.235002958
1549,111619.33911063109
1550,143024.0405089965
1551,113127.11678263663
1552,120932.37505859262
1553,149454.7829199189
1554,107994.00579857774
1555,160302.9723468679
1556,74779.63320883388
1557,103798.4012460026
1558,89242.37472835935
1559,91538.95945615156
1560,135652.1241394796
1561,125290.64660174972
1562,130733.85927223205
1563,123856.903392464
1564,151546.15915170914
1565,147333.45733672086
1566,233429.97531988908
1567,68076.263526708
1568,220605.1455216016
1569,138124.87703791205
1570,127493.89005882197
1571,125612.3424768864
1572,148257.8182587888
1573,240470.05841120658
1574,109124.65542940823
1575,222119.41133476363
1576,213711.0893529421
1577,177598.8589207193
1578,149762.9384457677
1579,145427.1668332985
1580,183833.42132427244
1581,142527.20567251192
1582,128438.43994849466
1583,332075.20225408615
1584,226864.432704395
1585,141048.38216372635
1586,69663.8275137171
1587,95003.80761008401
1588,147868.55174755122
1589,87818.56884937592
1590,135882.8863546162
1591,99878.68970580933
1592,112101.58652533393
1593,129785.94657344988
1594,113556.95704444284
1595,112183.39041842171
1596,238403.5430110691
1597,185916.99719829185
1598,205158.54095114922
1599,181969.43441083253
1600,178905.62421557322
1601,66522.28762276989
1602,104141.16602974881
1603,81648.3535057464
1604,276158.7678926936
1605,253452.29560682888
1606,160231.29174256907
1607,154836.12217709783
1608,203767.50044338874
1609,179414.09731225698
1610,144111.7718508188
1611,143302.77036678177
1612,152679.92262344426
1613,149736.75484363677
1614,124259.89022728425
1615,85203.95176724209
1616,77121.76148127983
1617,89839.47753313005
1618,118025.91665919335
1619,135331.2774829807
1620,152296.44493067331
1621,134185.93200884038
1622,137552.84187871596
1623,289593.60196884157
1624,213172.51565996505
1625,123005.41873668872
1626,170895.89998457802
1627,188375.13495363292
1628,278168.120804096
1629,181171.96589187733
1630,355371.17085634824
1631,210773.6560019914
1632,249371.61820124742
1633,170911.807557818
1634,190425.22637510265
